Bedrooms,squareFoootage,Saleprice,,Quarter,sales,,carmodel,Fuelefficiency,,Item,Price per item,Quantity,,Customer ID,Order Date,Product Name,Order Quantity,,,product,Date,Quantity sold,,Property_ID,Location__,Bedrooms,Area_sqft,Listing Price,,Monthly_,Sales_,,Month@,Temperature_?,Rainfall_mm,,Word_,Frequency_
2,1704,950950,,quarter1,19545,,model1,10.982,,apples,12,5,,1,01-01-2025,Laptop,1,,,Laptop,02-04-2025,3,,P1000,Uptown,1,4384,373030,,15-01-2025,35000,,January,25,45,,text ,1 
2,1904,985959,,quarter2,95629,,model2,15.59752,,banana,6,12,,1,02-01-2025,Mouse,1,,,Mouse,03-04-2025,2,,P1001,Suburb,2,3161,111734,,30-01-2025,36000,,February,28,30,,analysis ,2 
2,1864,464985,,quarter3,15975,,model3,12.5982,,orange,15,30,,1,02-01-2025,KeyBoard,1,,,KeyBoard,03-04-2025,1,,P1002,Suburb,5,3744,885619,,12-02-2025,39000,,March,30,50,,involves ,6
3,2659,1000069,,quarter4,29845,,model4,15.6891,,pineapple,75,5,,4,02-01-2025,Printer,1,,,Printer,03-04-2025,2,,P1003,Countryside,2,755,122025,,25-02-2025,41000,,April,32,60,,extracting ,4
3,2496,1169852,,,,,moeel5,14.2589,,5star,10,20,,3,03-01-2025,USB,5,,,USB,04-04-2025,3,,P1004,Suburb,5,4989,971361,,05-03-2025,43000,,May,35,80,,meaningful ,1 
4,3599,1991253,,,,,model6,11.5987,,diarymilk (silk),120,20,,3,05-01-2025,Trackpad,1,,,Trackpad,04-04-2025,3,,P1005,Countryside,1,1239,415681,,18-03-2025,46000,,June,37,90,,information ,3
4,3246,1896583,,,,,model7,10.5982,,eggs,7.5,30,,6,05-01-2025,CPU,1,,,CPU,05-04-2025,5,,P1006,Suburb,3,4624,805268,,10-04-2025,47620,,July,35,85,,from ,7
5,4490,2015985,,,,,model8,16.2894,,bread,40,2,,8,06-01-2025,Moniter,3,,,Moniter,05-04-2025,5,,P1007,Suburb,3,1147,538995,,22-04-2025,48126,,August,33,70,,textual ,1 
5,5120,2569515,,,,,model9,17.5982,,bingo,20,5,,6,07-01-2025,GPU,1,,,GPU,06-04-2025,6,,P1008,Uptown,1,4990,370373,,01-05-2025,49856,,September,30,55,,data ,1 
3,2990,1005984,,,,,model10,19.9982,,french fries,90,1,,10,08-01-2025,Mother Board,1,,,Mother Board,06-04-2025,2,,P1009,Suburb,6,3047,918661,,15-05-2025,50000,,October,28,50,,it ,4
